example_id,view_id,label,domain,source_name,source_group,action_id,frames_dir,frame_count,fps,center_frame,auxiliary_label,fold
YTDown.com_YouTube_10-HANDBALL-GOALS-IN-FOOTBALL-HISTORY_Media_CHdcst_DEZM_001_720p_4604e10a58_71657d102d_f00003562,primary,1,native,YTDown.com_YouTube_10-HANDBALL-GOALS-IN-FOOTBALL-HISTORY_Media_CHdcst_DEZM_001_720p_4604e10a58.mp4,native::YTDown.com_YouTube_10-HANDBALL-GOALS-IN-FOOTBALL-HISTORY_Media_CHdcst_DEZM_001_720p_4604e10a58.mp4,,dataset/handball/YTDown.com_YouTube_10-HANDBALL-GOALS-IN-FOOTBALL-HISTORY_Media_CHdcst_DEZM_001_720p_4604e10a58_71657d102d_f00003562/frames,41,25.0,3562,,1
YTDown.com_YouTube_25-Manos-Mas-Famosas-Del-Futbol-25-Famou_Media_Wa7Phu0LpY4_001_1080p (1)_c57d10e006_0930f82c39_f00005364,primary,1,native,YTDown.com_YouTube_25-Manos-Mas-Famosas-Del-Futbol-25-Famou_Media_Wa7Phu0LpY4_001_1080p (1)_c57d10e006.mp4,native::YTDown.com_YouTube_25-Manos-Mas-Famosas-Del-Futbol-25-Famou_Media_Wa7Phu0LpY4_001_1080p (1)_c57d10e006.mp4,,dataset/handball/YTDown.com_YouTube_25-Manos-Mas-Famosas-Del-Futbol-25-Famou_Media_Wa7Phu0LpY4_001_1080p (1)_c57d10e006_0930f82c39_f00005364/frames,41,59.94005994005994,5364,,2
YTDown.com_YouTube_25-Manos-Mas-Famosas-Del-Futbol-25-Famou_Media_Wa7Phu0LpY4_001_1080p (1)_c57d10e006_0930f82c39_f00006145,primary,1,native,YTDown.com_YouTube_25-Manos-Mas-Famosas-Del-Futbol-25-Famou_Media_Wa7Phu0LpY4_001_1080p (1)_c57d10e006.mp4,native::YTDown.com_YouTube_25-Manos-Mas-Famosas-Del-Futbol-25-Famou_Media_Wa7Phu0LpY4_001_1080p (1)_c57d10e006.mp4,,dataset/handball/YTDown.com_YouTube_25-Manos-Mas-Famosas-Del-Futbol-25-Famou_Media_Wa7Phu0LpY4_001_1080p (1)_c57d10e006_0930f82c39_f00006145/frames,41,59.94005994005994,6145,,2
YTDown.com_YouTube_25-Manos-Mas-Famosas-Del-Futbol-25-Famou_Media_Wa7Phu0LpY4_001_1080p (1)_c57d10e006_0930f82c39_f00006417,primary,1,native,YTDown.com_YouTube_25-Manos-Mas-Famosas-Del-Futbol-25-Famou_Media_Wa7Phu0LpY4_001_1080p (1)_c57d10e006.mp4,native::YTDown.com_YouTube_25-Manos-Mas-Famosas-Del-Futbol-25-Famou_Media_Wa7Phu0LpY4_001_1080p (1)_c57d10e006.mp4,,dataset/handball/YTDown.com_YouTube_25-Manos-Mas-Famosas-Del-Futbol-25-Famou_Media_Wa7Phu0LpY4_001_1080p (1)_c57d10e006_0930f82c39_f00006417/frames,41,59.94005994005994,6417,,2
YTDown.com_YouTube_25-Manos-Mas-Famosas-Del-Futbol-25-Famou_Media_Wa7Phu0LpY4_001_1080p (1)_c57d10e006_0930f82c39_f00008453,primary,1,native,YTDown.com_YouTube_25-Manos-Mas-Famosas-Del-Futbol-25-Famou_Media_Wa7Phu0LpY4_001_1080p (1)_c57d10e006.mp4,native::YTDown.com_YouTube_25-Manos-Mas-Famosas-Del-Futbol-25-Famou_Media_Wa7Phu0LpY4_001_1080p (1)_c57d10e006.mp4,,dataset/handball/YTDown.com_YouTube_25-Manos-Mas-Famosas-Del-Futbol-25-Famou_Media_Wa7Phu0LpY4_001_1080p (1)_c57d10e006_0930f82c39_f00008453/frames,41,59.94005994005994,8453,,2
YTDown.com_YouTube_25-Manos-Mas-Famosas-Del-Futbol-25-Famou_Media_Wa7Phu0LpY4_001_1080p (1)_c57d10e006_0930f82c39_f00010345,primary,1,native,YTDown.com_YouTube_25-Manos-Mas-Famosas-Del-Futbol-25-Famou_Media_Wa7Phu0LpY4_001_1080p (1)_c57d10e006.mp4,native::YTDown.com_YouTube_25-Manos-Mas-Famosas-Del-Futbol-25-Famou_Media_Wa7Phu0LpY4_001_1080p (1)_c57d10e006.mp4,,dataset/handball/YTDown.com_YouTube_25-Manos-Mas-Famosas-Del-Futbol-25-Famou_Media_Wa7Phu0LpY4_001_1080p (1)_c57d10e006_0930f82c39_f00010345/frames,41,59.94005994005994,10345,,2
YTDown.com_YouTube_25-Manos-Mas-Famosas-Del-Futbol-25-Famou_Media_Wa7Phu0LpY4_001_1080p (1)_c57d10e006_0930f82c39_f00014365,primary,1,native,YTDown.com_YouTube_25-Manos-Mas-Famosas-Del-Futbol-25-Famou_Media_Wa7Phu0LpY4_001_1080p (1)_c57d10e006.mp4,native::YTDown.com_YouTube_25-Manos-Mas-Famosas-Del-Futbol-25-Famou_Media_Wa7Phu0LpY4_001_1080p (1)_c57d10e006.mp4,,dataset/handball/YTDown.com_YouTube_25-Manos-Mas-Famosas-Del-Futbol-25-Famou_Media_Wa7Phu0LpY4_001_1080p (1)_c57d10e006_0930f82c39_f00014365/frames,41,59.94005994005994,14365,,2
YTDown.com_YouTube_25-Manos-Mas-Famosas-Del-Futbol-25-Famou_Media_Wa7Phu0LpY4_001_1080p (1)_c57d10e006_0930f82c39_f00014535,primary,1,native,YTDown.com_YouTube_25-Manos-Mas-Famosas-Del-Futbol-25-Famou_Media_Wa7Phu0LpY4_001_1080p (1)_c57d10e006.mp4,native::YTDown.com_YouTube_25-Manos-Mas-Famosas-Del-Futbol-25-Famou_Media_Wa7Phu0LpY4_001_1080p (1)_c57d10e006.mp4,,dataset/handball/YTDown.com_YouTube_25-Manos-Mas-Famosas-Del-Futbol-25-Famou_Media_Wa7Phu0LpY4_001_1080p (1)_c57d10e006_0930f82c39_f00014535/frames,41,59.94005994005994,14535,,2
YTDown.com_YouTube_25-Manos-Mas-Famosas-Del-Futbol-25-Famou_Media_Wa7Phu0LpY4_001_1080p (1)_c57d10e006_0930f82c39_f00014634,primary,1,native,YTDown.com_YouTube_25-Manos-Mas-Famosas-Del-Futbol-25-Famou_Media_Wa7Phu0LpY4_001_1080p (1)_c57d10e006.mp4,native::YTDown.com_YouTube_25-Manos-Mas-Famosas-Del-Futbol-25-Famou_Media_Wa7Phu0LpY4_001_1080p (1)_c57d10e006.mp4,,dataset/handball/YTDown.com_YouTube_25-Manos-Mas-Famosas-Del-Futbol-25-Famou_Media_Wa7Phu0LpY4_001_1080p (1)_c57d10e006_0930f82c39_f00014634/frames,41,59.94005994005994,14634,,2
YTDown.com_YouTube_25-Manos-Mas-Famosas-Del-Futbol-25-Famou_Media_Wa7Phu0LpY4_001_1080p (1)_c57d10e006_0930f82c39_f00014733,primary,1,native,YTDown.com_YouTube_25-Manos-Mas-Famosas-Del-Futbol-25-Famou_Media_Wa7Phu0LpY4_001_1080p (1)_c57d10e006.mp4,native::YTDown.com_YouTube_25-Manos-Mas-Famosas-Del-Futbol-25-Famou_Media_Wa7Phu0LpY4_001_1080p (1)_c57d10e006.mp4,,dataset/handball/YTDown.com_YouTube_25-Manos-Mas-Famosas-Del-Futbol-25-Famou_Media_Wa7Phu0LpY4_001_1080p (1)_c57d10e006_0930f82c39_f00014733/frames,41,59.94005994005994,14733,,2
YTDown.com_YouTube_25-Manos-Mas-Famosas-Del-Futbol-25-Famou_Media_Wa7Phu0LpY4_001_1080p (1)_c57d10e006_0930f82c39_f00016114,primary,1,native,YTDown.com_YouTube_25-Manos-Mas-Famosas-Del-Futbol-25-Famou_Media_Wa7Phu0LpY4_001_1080p (1)_c57d10e006.mp4,native::YTDown.com_YouTube_25-Manos-Mas-Famosas-Del-Futbol-25-Famou_Media_Wa7Phu0LpY4_001_1080p (1)_c57d10e006.mp4,,dataset/handball/YTDown.com_YouTube_25-Manos-Mas-Famosas-Del-Futbol-25-Famou_Media_Wa7Phu0LpY4_001_1080p (1)_c57d10e006_0930f82c39_f00016114/frames,41,59.94005994005994,16114,,2
YTDown.com_YouTube_25-Manos-Mas-Famosas-Del-Futbol-25-Famou_Media_Wa7Phu0LpY4_001_1080p (1)_c57d10e006_0930f82c39_f00016315,primary,1,native,YTDown.com_YouTube_25-Manos-Mas-Famosas-Del-Futbol-25-Famou_Media_Wa7Phu0LpY4_001_1080p (1)_c57d10e006.mp4,native::YTDown.com_YouTube_25-Manos-Mas-Famosas-Del-Futbol-25-Famou_Media_Wa7Phu0LpY4_001_1080p (1)_c57d10e006.mp4,,dataset/handball/YTDown.com_YouTube_25-Manos-Mas-Famosas-Del-Futbol-25-Famou_Media_Wa7Phu0LpY4_001_1080p (1)_c57d10e006_0930f82c39_f00016315/frames,41,59.94005994005994,16315,,2
YTDown.com_YouTube_25-Manos-Mas-Famosas-Del-Futbol-25-Famou_Media_Wa7Phu0LpY4_001_1080p (1)_c57d10e006_0930f82c39_f00016355,primary,1,native,YTDown.com_YouTube_25-Manos-Mas-Famosas-Del-Futbol-25-Famou_Media_Wa7Phu0LpY4_001_1080p (1)_c57d10e006.mp4,native::YTDown.com_YouTube_25-Manos-Mas-Famosas-Del-Futbol-25-Famou_Media_Wa7Phu0LpY4_001_1080p (1)_c57d10e006.mp4,,dataset/handball/YTDown.com_YouTube_25-Manos-Mas-Famosas-Del-Futbol-25-Famou_Media_Wa7Phu0LpY4_001_1080p (1)_c57d10e006_0930f82c39_f00016355/frames,41,59.94005994005994,16355,,2
YTDown.com_YouTube_25-Manos-Mas-Famosas-Del-Futbol-25-Famou_Media_Wa7Phu0LpY4_001_1080p (1)_c57d10e006_0930f82c39_f00016495,primary,1,native,YTDown.com_YouTube_25-Manos-Mas-Famosas-Del-Futbol-25-Famou_Media_Wa7Phu0LpY4_001_1080p (1)_c57d10e006.mp4,native::YTDown.com_YouTube_25-Manos-Mas-Famosas-Del-Futbol-25-Famou_Media_Wa7Phu0LpY4_001_1080p (1)_c57d10e006.mp4,,dataset/handball/YTDown.com_YouTube_25-Manos-Mas-Famosas-Del-Futbol-25-Famou_Media_Wa7Phu0LpY4_001_1080p (1)_c57d10e006_0930f82c39_f00016495/frames,41,59.94005994005994,16495,,2
YTDown.com_YouTube_Top-10-Handball-Red-Cards_Media_YS2SZiGn8Uc_001_720p_db9f043cad_c4371e809a_f00005496,primary,1,native,YTDown.com_YouTube_Top-10-Handball-Red-Cards_Media_YS2SZiGn8Uc_001_720p_db9f043cad.mp4,native::YTDown.com_YouTube_Top-10-Handball-Red-Cards_Media_YS2SZiGn8Uc_001_720p_db9f043cad.mp4,,dataset/handball/YTDown.com_YouTube_Top-10-Handball-Red-Cards_Media_YS2SZiGn8Uc_001_720p_db9f043cad_c4371e809a_f00005496/frames,41,25.0,5496,,4
YTDown.com_YouTube_Top-10-Handball-Red-Cards_Media_YS2SZiGn8Uc_001_720p_db9f043cad_c4371e809a_f00006647,primary,1,native,YTDown.com_YouTube_Top-10-Handball-Red-Cards_Media_YS2SZiGn8Uc_001_720p_db9f043cad.mp4,native::YTDown.com_YouTube_Top-10-Handball-Red-Cards_Media_YS2SZiGn8Uc_001_720p_db9f043cad.mp4,,dataset/handball/YTDown.com_YouTube_Top-10-Handball-Red-Cards_Media_YS2SZiGn8Uc_001_720p_db9f043cad_c4371e809a_f00006647/frames,41,25.0,6647,,4
hb_15_ Spain v Russia _ 2018 FIFA World Cup _ Match Highlights_7791349a30_c00955b4ac_f00000535,primary,1,native,hb_15_ Spain v Russia _ 2018 FIFA World Cup _ Match Highlights_7791349a30.mp4,native::hb_15_ Spain v Russia _ 2018 FIFA World Cup _ Match Highlights_7791349a30.mp4,,dataset/handball/hb_15_ Spain v Russia _ 2018 FIFA World Cup _ Match Highlights_7791349a30_c00955b4ac_f00000535/frames,41,50.0,535,,1
hb_16_ 15-Minute Match_ France vs Croatia _ 2018 FIFA World Cup FINAL_82bd97623e_598f3cf0c2_f00000037_manual,primary,1,native,hb_16_ 15-Minute Match_ France vs Croatia _ 2018 FIFA World Cup FINAL_82bd97623e.mp4,native::hb_16_ 15-Minute Match_ France vs Croatia _ 2018 FIFA World Cup FINAL_82bd97623e.mp4,,dataset/handball/hb_16_ 15-Minute Match_ France vs Croatia _ 2018 FIFA World Cup FINAL_82bd97623e_598f3cf0c2_f00000037_manual/frames,41,25.0,37,,2
hb_17_ FULL MATCH_ Colombia v Japan _ Group Stage _ 2018 FIFA WORLD CUP RUSSIA_3b1598ce10_b2045e7d95_f00000105,primary,1,native,hb_17_ FULL MATCH_ Colombia v Japan _ Group Stage _ 2018 FIFA WORLD CUP RUSSIA_3b1598ce10.mp4,native::hb_17_ FULL MATCH_ Colombia v Japan _ Group Stage _ 2018 FIFA WORLD CUP RUSSIA_3b1598ce10.mp4,,dataset/handball/hb_17_ FULL MATCH_ Colombia v Japan _ Group Stage _ 2018 FIFA WORLD CUP RUSSIA_3b1598ce10_b2045e7d95_f00000105/frames,41,30.0,105,,4
hb_19_ Legendary Red Cards in Football_02617afc86_9b1e6e9826_f00000076_manual,primary,1,native,hb_19_ Legendary Red Cards in Football_02617afc86.mp4,native::hb_19_ Legendary Red Cards in Football_02617afc86.mp4,,dataset/handball/hb_19_ Legendary Red Cards in Football_02617afc86_9b1e6e9826_f00000076_manual/frames,41,30.0,76,,3
hb_20_ FIFA World Cup 2026™ - Spain v Argentina_ Final _ SBS On Demand - Google Chrome 2026-07-20 23-02-45 - Trim_b681037678_82e61cc8b9_f00000596_manual,primary,1,native,hb_20_ FIFA World Cup 2026™ - Spain v Argentina_ Final _ SBS On Demand - Google Chrome 2026-07-20 23-02-45 - Trim_b681037678.mp4,native::hb_20_ FIFA World Cup 2026™ - Spain v Argentina_ Final _ SBS On Demand - Google Chrome 2026-07-20 23-02-45 - Trim_b681037678.mp4,,dataset/handball/hb_20_ FIFA World Cup 2026™ - Spain v Argentina_ Final _ SBS On Demand - Google Chrome 2026-07-20 23-02-45 - Trim_b681037678_82e61cc8b9_f00000596_manual/frames,41,30.077567428763704,596,,4
hb_21_ Unforgettable RED CARDS in Football History_c384a1d83d_12e822390b_f00000458_manual,primary,1,native,hb_21_ Unforgettable RED CARDS in Football History_c384a1d83d.mp4,native::hb_21_ Unforgettable RED CARDS in Football History_c384a1d83d.mp4,,dataset/handball/hb_21_ Unforgettable RED CARDS in Football History_c384a1d83d_12e822390b_f00000458_manual/frames,41,60.0,458,,4
hb_23_ Drama in the Canadian Classique! Handball Goals_! & Razor-Thin Offside Calls _ Instant Replay_c816f9cd7c_2e08f19077_f00000772,primary,1,native,hb_23_ Drama in the Canadian Classique! Handball Goals_! & Razor-Thin Offside Calls _ Instant Replay_c816f9cd7c.mp4,native::hb_23_ Drama in the Canadian Classique! Handball Goals_! & Razor-Thin Offside Calls _ Instant Replay_c816f9cd7c.mp4,,dataset/handball/hb_23_ Drama in the Canadian Classique! Handball Goals_! & Razor-Thin Offside Calls _ Instant Replay_c816f9cd7c_2e08f19077_f00000772/frames,41,29.97002997002997,772,,0
hb_24_ Miami & Orlando Handball Calls That Changed the Playoff Picture!_8242eb438e_aed467df8a_f00000351,primary,1,native,hb_24_ Miami & Orlando Handball Calls That Changed the Playoff Picture!_8242eb438e.mp4,native::hb_24_ Miami & Orlando Handball Calls That Changed the Playoff Picture!_8242eb438e.mp4,,dataset/handball/hb_24_ Miami & Orlando Handball Calls That Changed the Playoff Picture!_8242eb438e_aed467df8a_f00000351/frames,41,59.94005994005994,351,,2
hb_25_ Miami & Orlando Handball Calls That Changed the Playoff Picture!_7853867fee_4529a4b3eb_f00000192,primary,1,native,hb_25_ Miami & Orlando Handball Calls That Changed the Playoff Picture!_7853867fee.mp4,native::hb_25_ Miami & Orlando Handball Calls That Changed the Playoff Picture!_7853867fee.mp4,,dataset/handball/hb_25_ Miami & Orlando Handball Calls That Changed the Playoff Picture!_7853867fee_4529a4b3eb_f00000192/frames,41,59.94005994005994,192,,3
hb_27_ Hand Balls & Head Butts - Instant Replay_a6b14aff2a_e2a5aa119b_f00000241,primary,1,native,hb_27_ Hand Balls & Head Butts - Instant Replay_a6b14aff2a.mp4,native::hb_27_ Hand Balls & Head Butts - Instant Replay_a6b14aff2a.mp4,,dataset/handball/hb_27_ Hand Balls & Head Butts - Instant Replay_a6b14aff2a_e2a5aa119b_f00000241/frames,41,23.976023976023978,241,,0
hb_28_ Hand Balls & Head Butts - Instant Replay_59efdbaa3c_8d357da3d4_f00000076_manual,primary,1,native,hb_28_ Hand Balls & Head Butts - Instant Replay_59efdbaa3c.mp4,native::hb_28_ Hand Balls & Head Butts - Instant Replay_59efdbaa3c.mp4,,dataset/handball/hb_28_ Hand Balls & Head Butts - Instant Replay_59efdbaa3c_8d357da3d4_f00000076_manual/frames,41,23.976023976023978,76,,4
hb_29_ INSTANT REPLAY_ That handball in Dallas & Cahill’s potential red card vs. KC_652bb4c0c4_44f583fd1d_f00000066,primary,1,native,hb_29_ INSTANT REPLAY_ That handball in Dallas & Cahill’s potential red card vs. KC_652bb4c0c4.mp4,native::hb_29_ INSTANT REPLAY_ That handball in Dallas & Cahill’s potential red card vs. KC_652bb4c0c4.mp4,,dataset/handball/hb_29_ INSTANT REPLAY_ That handball in Dallas & Cahill’s potential red card vs. KC_652bb4c0c4_44f583fd1d_f00000066/frames,41,29.97002997002997,66,,3
hb_29_ INSTANT REPLAY_ That handball in Dallas & Cahill’s potential red card vs. KC_652bb4c0c4_44f583fd1d_f00000253,primary,1,native,hb_29_ INSTANT REPLAY_ That handball in Dallas & Cahill’s potential red card vs. KC_652bb4c0c4.mp4,native::hb_29_ INSTANT REPLAY_ That handball in Dallas & Cahill’s potential red card vs. KC_652bb4c0c4.mp4,,dataset/handball/hb_29_ INSTANT REPLAY_ That handball in Dallas & Cahill’s potential red card vs. KC_652bb4c0c4_44f583fd1d_f00000253/frames,41,29.97002997002997,253,,3
hb_31_ Inter Miami CF vs. Philadelphia Union _ Full Match Highlights _ Highest Scoring First Half EVER!_4659c631e3_5c93120ea5_f00000212_manual,primary,1,native,hb_31_ Inter Miami CF vs. Philadelphia Union _ Full Match Highlights _ Highest Scoring First Half EVER!_4659c631e3.mp4,native::hb_31_ Inter Miami CF vs. Philadelphia Union _ Full Match Highlights _ Highest Scoring First Half EVER!_4659c631e3.mp4,,dataset/handball/hb_31_ Inter Miami CF vs. Philadelphia Union _ Full Match Highlights _ Highest Scoring First Half EVER!_4659c631e3_5c93120ea5_f00000212_manual/frames,41,59.94005994005994,212,,4
hb_32_ WHAAAT_! THE CRAZIEST PENALTIES IN BUNDESLIGA HISTORY_ 🤯_dd18ee6f4a_61563d147d_f00000303,primary,1,native,hb_32_ WHAAAT_! THE CRAZIEST PENALTIES IN BUNDESLIGA HISTORY_ 🤯_dd18ee6f4a.mp4,native::hb_32_ WHAAAT_! THE CRAZIEST PENALTIES IN BUNDESLIGA HISTORY_ 🤯_dd18ee6f4a.mp4,,dataset/handball/hb_32_ WHAAAT_! THE CRAZIEST PENALTIES IN BUNDESLIGA HISTORY_ 🤯_dd18ee6f4a_61563d147d_f00000303/frames,41,25.0,303,,2
hb_33_ Laws of the Game 21⧸22 - Law 12 Fouls and Misconduct - Handball (1)_09f70dc816_c3a819fca3_f00000330,primary,1,native,hb_33_ Laws of the Game 21⧸22 - Law 12 Fouls and Misconduct - Handball (1)_09f70dc816.mp4,native::hb_33_ Laws of the Game 21⧸22 - Law 12 Fouls and Misconduct - Handball (1)_09f70dc816.mp4,,dataset/handball/hb_33_ Laws of the Game 21⧸22 - Law 12 Fouls and Misconduct - Handball (1)_09f70dc816_c3a819fca3_f00000330/frames,41,30.0,330,,3
hb_40_ Laws of the Game 21⧸22 - Laws 12 Fouls and Misconduct Handball_a4431732b4_b404c755f7_f00000340,primary,1,native,hb_40_ Laws of the Game 21⧸22 - Laws 12 Fouls and Misconduct Handball_a4431732b4.mp4,native::hb_40_ Laws of the Game 21⧸22 - Laws 12 Fouls and Misconduct Handball_a4431732b4.mp4,,dataset/handball/hb_40_ Laws of the Game 21⧸22 - Laws 12 Fouls and Misconduct Handball_a4431732b4_b404c755f7_f00000340/frames,41,30.0,340,,1
hb_41_ Late handball leads to Raphinha's winning penalty _ Premier League _ NBC Sports_eb5c570a22_4fd4dd53fe_f00000139,primary,1,native,hb_41_ Late handball leads to Raphinha's winning penalty _ Premier League _ NBC Sports_eb5c570a22.mp4,native::hb_41_ Late handball leads to Raphinha's winning penalty _ Premier League _ NBC Sports_eb5c570a22.mp4,,dataset/handball/hb_41_ Late handball leads to Raphinha's winning penalty _ Premier League _ NBC Sports_eb5c570a22_4fd4dd53fe_f00000139/frames,41,29.97002997002997,139,,0
hb_42_ Callum Wilson penalty rescueLeagueNBC_8c25f659ac_87588c1710_f00000093,primary,1,native,hb_42_ Callum Wilson penalty rescueLeagueNBC_8c25f659ac.mp4,native::hb_42_ Callum Wilson penalty rescueLeagueNBC_8c25f659ac.mp4,,dataset/handball/hb_42_ Callum Wilson penalty rescueLeagueNBC_8c25f659ac_87588c1710_f00000093/frames,41,29.97002997002997,93,,4
